,ZIPCODE,PO_NAME,POPULATION,AREA_FT,AREA_MI,STATE,COUNTY,ST_FIPS,CTY_FIPS,AVG_INCOME
207,11369,East Elmhurst,38116.0,30060493.25,1.08,NY,Queens,36,81,70551
208,11370,East Elmhurst,40591.0,41790436.67,1.5,NY,Queens,36,81,91997
209,11371,Flushing,0.0,30558474.91,1.1,NY,Queens,36,81,1
210,11372,Jackson Heights,66636.0,20163283.87,0.72,NY,Queens,36,81,75127
211,11373,Elmhurst,101282.0,42654860.34,1.53,NY,Queens,36,81,66968
212,11374,Rego Park,42755.0,25203558.58,0.9,NY,Queens,36,81,81747
213,11375,Forest Hills,68555.0,55587771.83,1.99,NY,Queens,36,81,109167
214,11377,Woodside,90852.0,71832387.49,2.58,NY,Queens,36,81,71990
215,11378,Maspeth,35473.0,66260538.74,2.38,NY,Queens,36,81,92128
216,11379,Middle Village,35428.0,57622817.05,2.07,NY,Queens,36,81,98870
217,11385,Ridgewood,98436.0,124786310.91,4.48,NY,Queens,36,81,84423
218,11411,Cambria Heights,18216.0,35889597.38,1.29,NY,Queens,36,81,108615
219,11412,Saint Albans,35019.0,45842752.23,1.64,NY,Queens,36,81,94871
220,11413,Springfield Gardens,39349.0,86208498.59,3.09,NY,Queens,36,81,100730
221,11414,Howard Beach,26148.0,63928824.72,2.29,NY,Queens,36,81,100462
222,11415,Kew Gardens,18990.0,16802279.51,0.6,NY,Queens,36,81,88979
223,11416,Ozone Park,25423.0,18854849.8,0.68,NY,Queens,36,81,81027
224,11417,Ozone Park,28562.0,31099087.11,1.12,NY,Queens,36,81,88365
225,11418,Richmond Hill,36607.0,32025130.92,1.15,NY,Queens,36,81,84897
226,11419,South Richmond Hill,47054.0,31278858.1,1.12,NY,Queens,36,81,87311
227,11420,South Ozone Park,44538.0,61879568.37,2.22,NY,Queens,36,81,91191
228,11421,Woodhaven,39014.0,24314441.76,0.87,NY,Queens,36,81,87680
229,11422,Rosedale,30139.0,60120657.21,2.16,NY,Queens,36,81,99628
230,11423,Hollis,30243.0,45095032.1,1.62,NY,Queens,36,81,90438
231,11426,Bellerose,20050.0,49609163.54,1.78,NY,Queens,36,81,107612
232,11427,Queens Village,21942.0,39435767.42,1.41,NY,Queens,36,81,100414
233,11428,Queens Village,18818.0,21927545.49,0.79,NY,Queens,36,81,85921
234,11429,Queens Village,25116.0,39559398.28,1.42,NY,Queens,36,81,96463
235,11430,Jamaica,16.0,199913664.29,7.17,NY,Queens,36,81,1
236,11432,Jamaica,62075.0,60177575.64,2.16,NY,Queens,36,81,79095
237,11433,Jamaica,33679.0,47739432.6,1.71,NY,Queens,36,81,69657
238,11434,Jamaica,57989.0,87379704.16,3.13,NY,Queens,36,81,76313
239,11435,Jamaica,53404.0,42105899.16,1.51,NY,Queens,36,81,79861
240,11436,Jamaica,18681.0,22699295.46,0.81,NY,Queens,36,81,93965
241,11451,Jamaica,0.0,487599.73,0.02,NY,Queens,36,81,1
242,11691,Far Rockaway,60267.0,83927815.11,3.01,NY,Queens,36,81,65467
243,11692,Arverne,18018.0,23992395.38,0.86,NY,Queens,36,81,63908
244,11693,Far Rockaway,11052.0,63767758.65,2.29,NY,Queens,36,81,77799
245,11694,Rockaway Park,20163.0,48101606.61,1.73,NY,Queens,36,81,111206
246,11697,Breezy Point,4079.0,59789760.62,2.14,NY,Queens,36,81,131013
